iter	Logloss
0	0.6553403385
1	0.6208281628
2	0.5857657178
3	0.5551132556
4	0.527062129
5	0.4993729205
6	0.4730717739
7	0.4490454705
8	0.4241825473
9	0.4004795878
10	0.3801127814
11	0.3602366909
12	0.3447686024
13	0.327523175
14	0.3117683618
15	0.2976765083
16	0.28376021
17	0.2710226714
18	0.2585404369
19	0.2470633458
20	0.2366907914
21	0.2267572652
22	0.2151978943
23	0.2060993688
24	0.1969990702
25	0.1894078153
26	0.1820036645
27	0.1749998415
28	0.1688053266
29	0.1624962001
30	0.1565905034
31	0.1509615176
32	0.1446912845
33	0.1395600017
34	0.1344702655
35	0.130206089
36	0.1251879719
37	0.1215974013
38	0.1175333997
39	0.1140279049
40	0.1101780396
41	0.1075764997
42	0.1046773232
43	0.1014152739
44	0.09809701898
45	0.09516426875
46	0.09279150045
47	0.09077227561
48	0.08882960533
49	0.08688374644
50	0.08471966689
51	0.08261572191
52	0.08097896149
53	0.07881293759
54	0.07708109836
55	0.07524285482
56	0.07374233951
57	0.07214107384
58	0.07057416716
59	0.06927842479
60	0.06750681809
61	0.06596822217
62	0.06455046497
63	0.06353830027
64	0.06189318672
65	0.06062878274
66	0.05942128668
67	0.05819338747
68	0.0573760457
69	0.0563434459
70	0.05520502072
71	0.05435109023
72	0.05349148454
73	0.05286701025
74	0.05208491175
75	0.05122225715
76	0.05051403287
77	0.04990506035
78	0.04921810023
79	0.04859772215
80	0.0478397166
81	0.04742728111
82	0.0468750958
83	0.04636272055
84	0.04569193049
85	0.04522994757
86	0.04486978243
87	0.04432333634
88	0.04365221073
89	0.04310388821
90	0.04274204861
91	0.04222751139
92	0.04169724405
93	0.04127304186
94	0.04101957555
95	0.04054709538
96	0.03990797652
97	0.03951559529
98	0.03917770975
99	0.03882934344
100	0.03854840808
101	0.03809285635
102	0.03773510987
103	0.03735145349
104	0.03680743826
105	0.03652262136
106	0.03608961107
107	0.03566288764
108	0.03528589728
109	0.03504464425
110	0.03472395208
111	0.03450342615
112	0.03401218725
113	0.03375555913
114	0.03354633506
115	0.03320394232
116	0.03307977827
117	0.03287573918
118	0.03271231859
119	0.03252896232
120	0.0323890218
121	0.03212454203
122	0.03201258324
123	0.03169093429
124	0.03154274275
125	0.03135251391
126	0.03123255515
127	0.03091755359
128	0.03075101456
129	0.03043029535
130	0.03018243455
131	0.02997415525
132	0.02986682674
133	0.02962592308
134	0.02939508223
135	0.02904262034
136	0.02891242414
137	0.02874311186
138	0.02867566304
139	0.02843136362
140	0.02824857987
141	0.02800201186
142	0.02793648965
143	0.02783069903
144	0.02753812997
145	0.02738842463
146	0.02721568402
147	0.02708618211
148	0.02696266036
149	0.02685272079
150	0.02673603717
151	0.02655446224
152	0.02648926291
153	0.02641095355
154	0.0262605951
155	0.02592996634
156	0.02584968911
157	0.02576662888
158	0.02568084391
159	0.02559340845
160	0.02548969757
161	0.02543728507
162	0.02516081973
163	0.02495148558
164	0.02477582679
