iter	Logloss
0	0.6541583086
1	0.6174125146
2	0.5822664803
3	0.5487037224
4	0.5224177047
5	0.4928634129
6	0.467059945
7	0.4423934557
8	0.4209766872
9	0.4024739193
10	0.3836706886
11	0.3661662161
12	0.3501050303
13	0.3325356856
14	0.31702217
15	0.3030415426
16	0.2885417746
17	0.2743032143
18	0.2622426225
19	0.2498094544
20	0.2396194891
21	0.230191051
22	0.2204961686
23	0.2118171136
24	0.2036659437
25	0.1958353758
26	0.18901647
27	0.1820071431
28	0.1752245223
29	0.1691967456
30	0.1631499692
31	0.1581757875
32	0.1521928472
33	0.1474497911
34	0.1426091921
35	0.1381410159
36	0.1344470219
37	0.1306906099
38	0.1271927283
39	0.1234653948
40	0.1197638143
41	0.1166684841
42	0.1137412991
43	0.1110597063
44	0.1082955823
45	0.1053485311
46	0.1032699891
47	0.100311876
48	0.09781394108
49	0.09556012918
50	0.09365962604
51	0.09166529665
52	0.08972785589
53	0.08765659747
54	0.08609546823
55	0.08400831786
56	0.08247396567
57	0.08073875876
58	0.07944641062
59	0.07799138413
60	0.07647666497
61	0.07500265041
62	0.07371943694
63	0.07259629201
64	0.07106739725
65	0.06990577091
66	0.06907192234
67	0.06810700446
68	0.0670913171
69	0.06620679861
70	0.06527990082
71	0.06436742931
72	0.06360033046
73	0.06286746529
74	0.06194509013
75	0.06085787662
76	0.0598291411
77	0.05936048909
78	0.05875543003
79	0.05798129996
80	0.0573353108
81	0.05676879759
82	0.05622248556
83	0.0554384025
84	0.05487808659
85	0.05432312989
86	0.05374846565
87	0.05291725372
88	0.05259383133
89	0.0520045313
90	0.05159734358
91	0.05120778276
92	0.05046307755
93	0.05015787516
94	0.04973422096
95	0.04932615644
96	0.04897165757
97	0.0486402628
98	0.04832576387
99	0.0478760084
100	0.04748123743
101	0.04716070288
102	0.04678997679
103	0.04640694754
104	0.04592214616
105	0.04570780023
106	0.04512532145
107	0.04476341731
108	0.04438437493
109	0.04403830154
110	0.04391369078
111	0.04353934133
112	0.043182373
113	0.04287745937
114	0.04262865075
115	0.04247031303
116	0.0422955304
117	0.04190422572
118	0.04163759394
119	0.0413069165
120	0.04089332755
121	0.04044297385
122	0.04031293364
123	0.04011280318
124	0.03987466266
125	0.03949021963
126	0.03938745643
127	0.03914790231
128	0.03895982755
129	0.03864099913
130	0.03850551124
131	0.03838999719
132	0.03821996692
133	0.03804883908
134	0.03783462178
135	0.03768671715
136	0.03756995934
137	0.03728754559
138	0.03705673525
139	0.03681698298
140	0.03651794431
141	0.03615018804
142	0.03590546706
143	0.03566122998
144	0.03552708007
145	0.03542034689
146	0.03511776276
147	0.03473673099
148	0.03445218031
149	0.03427161784
150	0.03410058906
151	0.03376582474
152	0.0336064444
153	0.0333938362
154	0.03321723667
155	0.03312053105
156	0.03291682513
157	0.03277398549
158	0.03263858572
159	0.03234067709
160	0.03201699698
161	0.03181886847
162	0.03156527364
163	0.03146209805
164	0.03122999783
165	0.03114078839
166	0.0308928097
167	0.03077468321
168	0.03070919003
169	0.03039745078
170	0.03029747626
171	0.03020455912
172	0.03001815482
173	0.02995598638
174	0.02987699274
175	0.02963559012
176	0.02940485831
177	0.02919090552
178	0.0289705872
179	0.02891484785
180	0.02879653545
181	0.02851209075
182	0.02827357092
183	0.02805426936
184	0.02792769543
185	0.02783452611
186	0.0277899618
187	0.0276157755
188	0.02744489743
189	0.0274032403
190	0.02723690377
191	0.02716173378
192	0.02698672872
193	0.02687603386
194	0.02672978708
195	0.02665167285
196	0.0264122104
197	0.02618616733
198	0.02598981116
199	0.02592167983
200	0.02585758134
201	0.02559502162
202	0.02558233415
203	0.02548000751
204	0.0253749809
205	0.02521655854
206	0.02507451398
207	0.02490792919
208	0.02483455376
209	0.02474224976
210	0.02468421489
211	0.02467483826
212	0.02462415829
213	0.02449673244
214	0.02441297838
215	0.02426781824
216	0.02412203617
217	0.02399507971
218	0.02393272241
219	0.0238319934
220	0.02372817199
221	0.02362702025
222	0.02358181882
223	0.02349200781
224	0.02337799711
225	0.02328543631
226	0.02322760432
227	0.02296673333
228	0.02290802253
229	0.02275989071
230	0.02262551295
231	0.02246576327
232	0.02237949439
233	0.02229693834
234	0.02213886757
235	0.02202662927
236	0.02198871964
237	0.02187009346
238	0.02167324543
239	0.02158083212
240	0.02152070709
241	0.02134868251
242	0.02124692571
243	0.02109648212
244	0.02096927623
245	0.02087590605
246	0.02083858109
247	0.02082980684
248	0.02078613541
249	0.0205930344
250	0.02047437058
251	0.02041758411
252	0.02032671746
253	0.02021365446
254	0.02015503152
255	0.02009656909
256	0.01996516507
257	0.01979779121
258	0.01968508532
259	0.01966202341
260	0.01959919898
261	0.01952304558
262	0.01946492719
263	0.01926284472
264	0.01919877637
265	0.01905538594
266	0.01903072539
267	0.01895946736
268	0.01886952003
269	0.01879546748
270	0.01875298549
271	0.01862957091
272	0.01856522424
273	0.01845700447
274	0.01838119636
275	0.01829350167
276	0.01813195755
277	0.01809680793
278	0.01806190102
279	0.01799169474
280	0.0178891993
281	0.01780390303
282	0.0177880085
283	0.01776543464
284	0.01772518048
285	0.01760825412
286	0.01748524332
287	0.01737140155
288	0.01735898092
289	0.01733882763
290	0.01725277234
291	0.01722889152
292	0.01718989641
293	0.01703995716
294	0.01688944979
295	0.01683689786
296	0.01681512055
297	0.01674638735
298	0.01672544511
299	0.01668840533
300	0.01663370732
301	0.01662296625
302	0.01649894149
303	0.01635708122
304	0.01633159598
305	0.01624210472
306	0.01617143787
307	0.01612399822
308	0.01600238469
309	0.01598271388
310	0.01584976067
311	0.01580561771
312	0.01570980122
313	0.0156549309
314	0.01563587701
315	0.01555460313
316	0.01549843231
317	0.0154463795
318	0.01540809008
319	0.01537824584
320	0.01526900199
321	0.01523552579
322	0.0151341143
323	0.01507756375
324	0.0150328454
325	0.01492105947
326	0.01490394191
327	0.0148419861
328	0.01480910004
329	0.01479324142
330	0.01477723341
331	0.0147176617
332	0.01467780507
333	0.01459761901
334	0.01449844655
335	0.01445028258
336	0.01439889821
337	0.01433567085
338	0.01432155911
339	0.01424096074
340	0.01412447469
341	0.01406777404
342	0.01400344365
343	0.01388043792
344	0.01387166948
345	0.01379517177
346	0.01366181778
347	0.01357566409
348	0.01354655438
349	0.01350234642
350	0.01349702936
351	0.01346844242
352	0.0134317959
353	0.01336513527
354	0.0133529551
355	0.01334038026
356	0.01333118203
357	0.01325490863
358	0.01325156084
359	0.01323045613
360	0.01314432745
361	0.01309684104
362	0.01299927159
363	0.01298655611
364	0.01297192952
365	0.01293806408
366	0.01291508783
367	0.01289108831
368	0.01285424015
369	0.01282953407
370	0.01276345901
371	0.01270696544
372	0.01269104813
373	0.01265847492
374	0.01263422573
375	0.01260346757
376	0.01252228999
377	0.01249857912
378	0.01244878616
379	0.01236114272
380	0.01231337022
381	0.01223640128
382	0.01213386696
383	0.01205979268
384	0.01198565422
385	0.01195683627
386	0.01191449871
387	0.01190315461
388	0.01188114057
389	0.01181099396
390	0.01174775815
391	0.01171532839
392	0.01169735919
393	0.0116495682
394	0.01162882611
395	0.01162100944
396	0.01158768645
397	0.01157536022
398	0.01153923983
399	0.01150411281
400	0.01149118261
401	0.01146958576
402	0.01145284839
403	0.01144331716
404	0.01143332154
405	0.01136617841
406	0.01134467812
407	0.01131127878
408	0.01129547447
409	0.01129306995
410	0.01121343913
411	0.01114726783
412	0.01105862093
413	0.0109855354
414	0.01093284994
415	0.01087115782
416	0.0108221196
417	0.01076566438
418	0.01071838948
419	0.01066992914
420	0.01064402653
421	0.01062292528
422	0.01061429437
423	0.01060091497
424	0.01058642892
425	0.01052299613
426	0.01047664818
427	0.01041822315
428	0.01036391867
429	0.01035081841
430	0.01034404883
431	0.01031181895
432	0.01029507474
433	0.01022695597
434	0.01018989226
435	0.01014203607
436	0.01011171374
437	0.01005421802
438	0.01003351643
439	0.01002609681
440	0.01000192982
441	0.009986060586
442	0.009970684102
443	0.009926657521
444	0.009913159463
445	0.009864810485
446	0.009858872403
447	0.009841665599
448	0.009802917175
449	0.00979236671
450	0.009786382997
451	0.009762632444
452	0.009729999516
453	0.009693756603
454	0.009636396855
455	0.009592128407
456	0.009561921695
457	0.009557286276
458	0.00949820737
459	0.009453468285
460	0.009443081754
461	0.009418200615
462	0.009381637447
463	0.009376947479
464	0.009365254578
465	0.00934978447
466	0.009329277618
467	0.009292043274
468	0.009238041756
469	0.009216176733
470	0.00916992639
471	0.009125793051
472	0.009105536664
473	0.009091263275
474	0.009085337142
475	0.009064051568
476	0.009043293676
477	0.009030139304
478	0.008984555243
479	0.008973862339
480	0.008940259804
481	0.008930247094
482	0.00890914395
483	0.008878326037
484	0.008853963127
485	0.008842786229
486	0.008810205928
487	0.00879361867
488	0.008735469802
489	0.008725238697
490	0.008716480153
491	0.008702499527
492	0.008684463948
493	0.008667049187
494	0.008650794681
495	0.008619873182
496	0.008596212877
497	0.008573634838
498	0.008569773139
499	0.008525201214
500	0.00852145868
501	0.008513289781
502	0.008503552988
503	0.00844896847
504	0.00843439284
505	0.008395787706
506	0.008362593718
507	0.008357835222
508	0.008336070295
509	0.008321615006
510	0.008299300726
511	0.008296383738
512	0.008268119741
513	0.008255932922
514	0.008245619386
515	0.008239428296
516	0.00821559405
517	0.008201100005
518	0.008164362583
519	0.008159426497
520	0.008141970436
521	0.008118762464
522	0.008109670601
523	0.008088147352
524	0.008073212009
525	0.008022014142
526	0.008012073286
527	0.007993090272
528	0.00798274955
529	0.007976456832
530	0.007960369158
531	0.00794237942
532	0.007916820427
533	0.007909041298
534	0.007861408801
535	0.00784790598
536	0.007799819189
537	0.00777990681
538	0.00776861504
539	0.007731720124
540	0.007712387646
541	0.007700032204
542	0.007667122093
543	0.007644263941
544	0.007634774977
545	0.007615298574
546	0.007597099734
547	0.007592509108
548	0.00758112113
549	0.007572274636
550	0.007541953714
551	0.007530230033
552	0.007507890312
553	0.007500473318
554	0.007455460687
555	0.00744681724
556	0.007428063303
557	0.007410585254
558	0.007393555141
559	0.007350009841
560	0.007333277936
561	0.007317758765
562	0.007315492195
563	0.007308386462
564	0.007281568663
565	0.00726514019
566	0.007258436237
567	0.007241532971
