콜라보,타이틀,출시년도,재질,크기,박스크기,예상가격,낙찰가격
KAWS X Jun Takahashi,Undercover Bear Companion (Black),2009,Cast vinyl,6 x 5 x 4-1/4 inches (15.2 x 12.7 x 10.8 cm),7-3/4 x 8-1/4 x 7-1/4 inches (19.7 x 20.3 x 18.4 cm),$600 - $800.,"1,500.00"
KAWS (b. 1974),Blitz (Grey),2004,Painted cast vinyl,5-1/2 x 4-1/4 x 3-1/2 inches (14 x 10.8 x 8.9 cm),7-1/4 x 6 x 5-1/8 inches (18.4 x 15.2 x 13 cm),$600 - $800.,"2,000.00"
KAWS X BE@RBRICK,Dissected Companion 400% (Black),2010,Painted cast vinyl,10-3/4 x 5 x 35 inches (27.3 x 12.7 x 88.9 cm),11-1/2 x 6-1/4 x 4-1/4 inches (29.2 x 15.9 x 10.8 cm),$600 - $800.,"1,875.00"
KAWS X Pushead,Companion (Black),2005,Painted cast vinyl,10-3/4 x 5-1/2 x 2-1/2 inches (27.3 x 14 x 6.4 cm),12-1/4 x 7-1/8 x 5-1/8 inches (31.1 x 18.1 x 13 cm),"$1,000 - $1,500.","2,500.00"
KAWS X Pushead,Companion (Silver),2005,Painted cast vinyl,10-3/4 x 5-1/2 x 2-1/2 inches (27.3 x 14 x 6.4 cm),12-1/4 x 7-1/8 x 5-1/8 inches (31.1 x 18.1 x 13 cm),"$1,000 - $1,500.","2,500.00"
KAWS X Neighborhood,Zooth (Black),2007,Painted cast vinyl,8 x 8-1/2 x 3-1/2 inches (20.3 x 21.6 x 8.9 cm),9 x 12-1/2 x 5 inches (22.9 x 31.8 x 12.7 cm),"$1,000 - $1,500.","1,750.00"
KAWS (b. 1974),JPP (Black),2008,Painted cast vinyl,7-3/4 x 5 x 3 inches (19.7 x 12.7 x 7.6 cm),9-1/2 x 7-1/4 x 5-1/2 inches (24.1 x 18.4 x 14 cm),"$1,000 - $1,500.","3,750.00"
KAWS X Todd James,The Twins (Brown) (two works),2006,Painted cast vinyl,"8 x 3 x 1-3/4 inches (20.3 x 7.6 x 4.4 cm) (toy,",10-1/4 x 8-5/8 x 3-3/4 inches (26 x 21.9 x 9.5 cm),"$1,000 - $1,500.","3,000.00"
KAWS X Neighborhood,Zooth (White),2007,Painted cast vinyl,8 x 8-1/2 x 3-1/2 inches (20.3 x 21.6 x 8.9 cm),9-3/4 x 12-1/2 x 4-1/2 inches (24.8 x 31.8 x 11.4 cm),"$1,000 - $1,500.","1,562.50"
KAWS X Pushead,Companion (Glow in the Dark),2005,Cast vinyl,10-3/4 x 5-1/2 x 2-1/2 inches (27.3 x 14 x 6.4 cm),12-1/8 x 7 x 5-1/4 inches (30.8 x 17.8 x 13.3 cm),"$1,000 - $1,500.","3,500.00"
KAWS X Pushead,Companion (Green),2005,Painted cast vinyl,10-3/4 x 5-1/2 x 3 inches (27.3 x 14 x 7.6 cm),12-1/4 x 7-1/8 x 5-1/8 inches (31.1 x 18.1 x 13 cm),"$1,000 - $1,500.","2,125.00"
KAWS X BE@RBRICK,Dissected Companion 400% (Grey),2010,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),11-1/2 x 6-1/4 x 4-1/2 inches (29.2 x 15.9 x 11.4 cm),$600 - $800.,"2,000.00"
KAWS (b. 1974),Blitz (Blue),2004,Painted cast vinyl,5-1/2 x 4-1/4 x 3-1/2 inches (14 x 10.8 x 8.9 cm),7-1/4 x 6 x 5-1/8 inches (18.4 x 15.2 x 13 cm),$600 - $800.,"2,000.00"
KAWS X Masamichi Katayama,Wonderwall (Black),2010,Painted cast vinyl,8-1/2 x 5-3/4 x 3-3/4 inches (21.6 x 14.6 x 9.5 cm),,$600 - $800.,"1,625.00"
KAWS X Masamichi Katayama,Wonderwall,2010,Painted cast vinyl,8-1/2 x 5-5/8 x 3-1/2 inches (21.6 x 14.3 x 8.9 cm),,$600 - $800.,"1,750.00"
KAWS X BAPE,Baby Milo (Pink/Green),2005,Painted cast vinyl,3-3/4 x 3-3/4 x 2-1/4 inches (9.5 x 9.5 x 5.7 cm),,"$800 - $1,200.	","1,625.00"
KAWS X BAPE,Baby Milo (Brown),2005,Painted cast vinyl,3-3/4 x 3-3/4 x 2-1/4 inches (9.5 x 9.5 x 5.7 cm),,"$800 - $1,200.","1,375.00"
KAWS (b. 1974),Bendy (Blue),2003,Painted cast vinyl,13-3/4 x 3 x 1-1/2 inches (34.9 x 7.6 x 3.8 cm),15 x 3-3/4 x 6-1/4 inches (38.1 x 9.5 x 15.9 cm),"$800 - $1,200.","1,187.50"
KAWS (b. 1974),Bendy (Grey),2003,Painted cast vinyl,13-3/4 x 3 x 1-1/2 inches (34.9 x 7.6 x 3.8 cm),15 x 3-3/4 x 6-1/4 inches (38.1 x 9.5 x 15.9 cm),"$800 - $1,200.","1,250.00"
KAWS X Jun Takahashi,Undercover Bear Companion (White),2009,Cast vinyl,6 x 5-1/2 x 4-1/4 inches (15.2 x 14 x 10.8 cm),7-3/4 x 8-1/4 x 7-1/4 inches (19.7 x 20.3 x 18.4 cm),$600 - $800.,"1,375.00"
KAWS (b. 1974),Bendy (Green),2003,Paint cast vinyl,13-3/4 x 3 x 1-1/2 inches (34.9 x 7.6 x 3.8 cm),15 x 3-3/4 x 6-1/4 inches (38.1 x 9.5 x 15.9 cm),"$800 - $1,200.","1,125.00"
KAWS (b. 1974),Bendy (Pink),2003,Painted cast vinyl,13-3/4 x 3 x 1-1/2 inches (34.9 x 7.6 x 3.8 cm),15 x 3-3/4 x 6-1/4 inches (38.1 x 9.5 x 15.9 cm),"$800 - $1,200.","1,750.00"
KAWS X BAPE,Baby Milo (White),2005,Painted cast vinyl,3-3/4 x 3-3/4 x 2-1/4 inches (9.5 x 9.5 x 5.7 cm),,"$800 - $1,200.	","1,625.00"
KAWS (b. 1974),Bendy (Yellow),2003,Painted cast vinyl,13-3/4 x 3 x 1-1/2 inches (34.9 x 7.6 x 3.8 cm),15 x 3-3/4 x 6-1/4 inches (38.1 x 9.5 x 15.9 cm),"$800 - $1,200.","1,375.00"
KAWS X BAPE,Dissected Milo (Black),2011,Painted cast vinyl,7-1/4 x 5-3/4 x 5 inches (18.4 x 14.6 x 12.7 cm),8-3/4 x 8-1/4 x 6-1/8 inches (22.2 x 21 x 15.6 cm),$600 - $800.,"1,625.00"
KAWS X BAPE,Dissected Milo,2011,Painted cast vinyl,7-1/4 x 5-3/4 x 5 inches (18.4 x 14.6 x 12.7 cm),8-3/4 x 8-1/4 x 6-1/8 inches (22.2 x 21 x 15.6 cm),$600 - $800.,"1,625.00"
KAWS X Warner Bros.,Tweety,2010,Painted cast vinyl,9-1/4 x 6-1/2 x 4 inches (23.5 x 16.5 x 10.2 cm),11-3/8 x 8-5/8 x 6-1/4 inches (28.9 x 21.9 x 15.9 cm),$400 - $600.,"3,125.00"
KAWS X BE@RBRICK,Dissected Companion 200%,2009,Painted metal,5-3/4 x 2-1/2 x 2 inches (14.6 x 6.4 x 5.1 cm),6-3/4 x 4 x 3 inches (17.1 x 10.2 x 7.6 cm),$400 - $600.,"1,500.00"
KAWS X Santa Inoue,Hasheem,2007,Painted cast vinyl,8-1/2 x 5-1/4 x 3-3/4 inches (21.6 x 13.3 x 9.5 cm),,$400 - $600.,"2,500.00"
KAWS (b. 1974),Warm Regards Bar (Brown),2008,Painted cast vinyl,6-1/2 x 3-1/2 x 1 inches (16.5 x 8.9 x 2.5 cm),7-1/4 x 4-3/8 x 1-3/4 inches (18.4 x 11.1 x 4.4 cm),$600 - $800.,"2,375.00"
KAWS X Bounty Hunter,Skull Kun (Red),2006,Cast vinyl,"6-1/2 x 5-1/4 x 3-1/4 inches (16.5 x 13.3 x 8.3 cm) (toy body)
1-1/2 x 1 x 1-1/4 inches (3.8 x 2.5 x 3.2 cm) (toy head)",,$600 - $800.,"2,500.00"
KAWS X Bounty Hunter,Skull Kun (Black),2006,Painted cast vinyl,6-1/2 x 5-1/4 x 3-1/4 inches (16.5 x 13.3 x 8.3 cm) (toy),,$600 - $800.,"1,875.00"
KAWS (b. 1974),Warm Regards Bar (White),2008,Painted cast vinyl,6-1/2 x 3-1/2 x 1 inches (16.5 x 8.9 x 2.5 cm),7-1/4 x 4-3/8 x 1-3/4 inches (18.4 x 11.1 x 4.4 cm),$600 - $800.,"2,250.00"
KAWS X BAPE,Dissected Milo (White/Grey),2011,Painted cast vinyl,7-1/4 x 5-3/4 x 5 inches (18.4 x 14.6 x 12.7 cm),8-3/4 x 8-1/4 x 6-1/8 inches (22.2 x 21 x 15.6 cm),$600 - $800.,"1,250.00"
KAWS (b. 1974),Skull Kun (White),2006,Painted cast vinyl,"6-1/2 x 5-1/4 x 3-1/4 inches (16.5 x 13.3 x 8.3 cm) (toy body)
1-1/2 x 1 x 1-1/4 inches (3.8 x 2.5 x 3.2 cm) (toy head)",,$600 - $800.,"3,000.00"
KAWS (b. 1974),Skull Kun (Green),2006,Painted cast vinyl,"6-1/2 x 5-1/4 x 3-1/4 inches (16.5 x 13.3 x 8.3 cm) (toy body)
1-1/2 x 1 x 1-1/4 inches (3.8 x 2.5 x 3.2 cm) (toy head)",,$600 - $800.,"3,000.00"
KAWS X realMad Hectic,Kubrick 400% (Silver),2003,Painted cast vinyl,9-3/4 x 6-3/4 x 3-1/4 inches (24.8 x 17.1 x 8.3 cm),11-7/8 x 8 x 4-3/4 inches (30.2 x 20.3 x 12.1 cm),$600 - $800.,"2,000.00"
KAWS X Bounty Hunter,Skull Kun (Black/White),2006,Painted cast vinyl,"6-1/2 x 5-1/4 x 3-1/4 inches (16.5 x 13.3 x 8.3 cm) (toy body)
1-1/2 x 1 x 1-1/4 inches (3.8 x 2.5 x 3.2 cm) (toy head)",,$600 - $800.,"2,250.00"
KAWS X Bounty Hunter,Skull Kun (Glow in the Dark),2006,Painted cast vinyl,"6-1/2 x 5-1/4 x 3-1/4 inches (16.5 x 13.3 x 8.3 cm) (toy body)
1-1/2 x 1 x 1-1/4 inches (3.8 x 2.5 x 3.2 cm) (toy head)",,$600 - $800.,"3,500.00"
KAWS X Bounty Hunter,Skull Kun (Brown),2006,Painted cast vinyl,"6-1/2 x 5-1/4 x 3-1/4 inches (16.5 x 13.3 x 8.3 cm) (toy body)
1-1/2 x 1 x 1-1/4 inches (3.8 x 2.5 x 3.2 cm) (toy head)",,$600 - $800.,"2,000.00"
KAWS (b. 1974),Cat Teeth Bank (Navy),2007,Painted cast vinyl,5 x 5 x 5 inches (12.7 x 12.7 x 12.7 cm),6-3/8 x 6-3/8 x 6-3/8 inches (16.2 x 16.2 x 16.2 cm),$400 - $600.,937.50
KAWS (b. 1974),Cat Teeth Bank (Green),2007,Painted cast vinyl,5 x 5 x 5 inches (12.7 x 12.7 x 12.7 cm),6-3/8 x 6-3/8 x 6-3/8 inches (16.2 x 16.2 x 16.2 cm),$400 - $600.,"1,187.50"
KAWS (b. 1974),Cat Teeth Bank (Black),2007,Painted cast vinyl,5 x 5 x 5 inches (12.7 x 12.7 x 12.7 cm),6-3/8 x 6-3/8 x 6-3/8 inches (16.2 x 16.2 x 16.2 cm),$400 - $600.,"1,375.00"
