콜라보,타이틀,출시년도,재질,크기,박스크기,예상가격,낙찰가격
KAWS X BE@RBRICK,Companion 1000% (Grey),2002,Painted cast vinyl,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm),,"$2,000 - $3,000.","5,000.00"
KAWS X BE@RBRICK,Companion 1000% (Blue/Grey),2006,Painted cast vinyl,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm),,"$2,000 - $3,000.","9,375.00"
KAWS (b. 1974),JPP (Yellow),2008,Painted cast vinyl,7-3/4 x 5 x 3 inches (19.7 x 12.7 x 7.6 cm),9-1/2 x 7-1/4 x 5-1/2 inches (24.1 x 18.4 x 14 cm),"$1,000 - $1,500.","3,750.00"
KAWS (b. 1974),Resting Place Companion (Black),2013,Painted cast vinyl,8-1/2 x 9 x 11-1/2 inches (21.6 x 22.9 x 28.6 cm),13 x 10-1/2 x 10-1/2 inches (33 x 26.7 x 26.7 cm),"$1,500 - $2,500.","5,375.00"
KAWS X Pushead,Companion (Bronze),2005,Painted cast vinyl,10-3/4 x 5-1/2 x 3 inches (27.3 x 14 x 7.6 cm),12-1/2 x 7-1/8 x 5-1/8 inches (31.8 x 18.1 x 13 cm),"$3,000 - $5,000.","8,750.00"
KAWS X BE@RBRICK,Dissected Companion 1000% (Black),2010,Painted cast vinyl,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm),,"$2,000 - $3,000.","5,750.00"
KAWS (b. 1974),Companion (Brown),1999,Painted cast vinyl,7-1/2 x 4-1/4 x 2 inches (19.1 x 10.8 x 5.1 cm),8-1/4 x 4-1/2 x 3-1/4 inches (21 x 11.4 x 8.3 cm),"$1,000 - $1,500.","7,500.00"
KAWS X BE@RBRICK,Chompers 1000%,2003,Painted cast vinyl,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm),,"$2,000 - $3,000.","8,125.00"
KAWS (b. 1974),Resting Place Companion (Grey),2013,Painted cast vinyl,8-1/2 x 9 x 11-1/2 inches (21.6 x 22.9 x 28.6 cm),13 x 10-1/2 x 10-1/2 inches (33 x 26.7 x 26.7 cm),"$1,500 - $2,500.","4,500.00"
KAWS (b. 1974),Resting Place Companion,2012,Painted cast vinyl,8-1/2 x 9 x 11-1/2 inches (21.6 x 22.9 x 28.6 cm),13 x 10-1/2 x 10-1/2 inches (33 x 26.7 x 26.7 cm),"$1,500 - $2,500.","4,250.00"
KAWS X BE@RBRICK,Dissected Companion 1000%,2008,Painted cast vinyl,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm),,"$2,000 - $3,000.","6,875.00"
KAWS X BE@RBRICK,Dissected Companion 1000% (Grey),2010,Painted cast vinyl,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm),,"$2,000 - $3,000.","5,000.00"
KAWS (b. 1974),Dissected Companion,2006,Painted cast vinyl,14-3/4 x 6-1/2 x 3-1/2 inches (37.5 x 16.5 x 8.9 cm),16-78 x 8-3/4 x 6 inches (42.9 x 22.2 x 15.2 cm),"$1,000 - $1,500.","10,000.00"
KAWS (b. 1974),"BFF Companion, set of three",2018,Painted cast vinyl,"13-1/8 x 5-5/8 x 3 inches (33.3 x 14.3 x 7.6 cm) (toy,","14-1/4 x 6-3/4 x 4 inches (36.2 x 17.1 x 10.2 cm) (packaging,",$600 - $800.,"3,250.00"
KAWS (b. 1974),Blitz (Green),2004,Painted cast vinyl,5-1/2 x 4-1/4 x 3-3/4 inches (14 x 10.8 x 9.5 cm),7-1/4 x 6 x 5-1/8 inches (18.4 x 15.2 x 13 cm),$600 - $800.,"2,125.00"
KAWS (b. 1974),Five Years Later Companion (Glow in the Dark),2004,Cast vinyl,14-7/8 x 6-1/2 x 3-1/2 inches (37.8 x 16.5 x 8.9 cm),17-1/8 x 6 x 8-3/4 inches (43.5 x 15.2 x 22.2),"$1,000 - $1,500.","12,500.00"
KAWS (b. 1974),Companion (Grey),1999,Painted cast vinyl,7-1/2 x 4-1/4 x 2 inches (19.1 x 10.8 x 5.1 cm),8-1/4 x 4-1/2 x 3-1/4 inches (21 x 11.4 x 8.3 cm),"$1,000 - $1,500.","4,250.00"
KAWS (b. 1974),Dissected Companion (Black),2006,Painted cast vinyl,14-3/4 x 6-1/4 x 3-1/4 inches (37.5 x 15.9 x 8.3 cm),17-1/8 x 8-3/4 x 6 inches (43.5 x 22.2 x 15.2 cm),"$1,000 - $1,500.","8,750.00"
KAWS X Todd James,The Twins (Glitter) (two works),2006,Cast vinyl,"8 x 3 x 1-3/4 inches (20.3 x 7.6 x 4.4 cm) (toy,",10-1/4 x 8-3/4 x 3-7/8 inches (26 x 22.2 x 9.8 cm),"$2,000 - $4,000.","13,750.00"
KAWS (b. 1974),Chum (White),2002,Painted cast vinyl,12-5/8 x 8-1/4 x 4-1/4 inches (32.1 x 21 x 10.8 cm),14 x 9-1/2 x 5 inches (35.6 x 24.1 x 12.7 cm),"$1,000 - $1,500.","6,000.00"
KAWS (b. 1974),Chum (Black),2002,Cast resin,12-5/8 x 8-1/4 x 4-1/4 inches (32.1 x 21 x 10.8 cm),14 x 9-1/2 x 5 inches (35.6 x 24.1 x 12.7 cm),"$1,000 - $1,500.","7,500.00"
KAWS (b. 1974),Passing Through Companion (Grey),2013,Painted cast vinyl,11-1/2 x 6-1/2 x 7-1/2 inches (29.2 x 16.5 x 19.1 cm),13-7/8 x 9-1/8 x 8-7/8 inches (35.2 x 23.2 x 22.4 cm),"$1,500 - $2,500.","5,000.00"
